date,TSLA,GOOGL,ALXN,AMZN
2019-01-02,62.02399826049805,1054.6800537109375,98.05000305175781,1539.1300048828125
2019-01-03,60.071998596191406,1025.469970703125,100.20999908447266,1500.280029296875
2019-01-04,63.53799819946289,1078.0699462890625,106.0,1575.3900146484375
2019-01-07,66.99199676513672,1075.9200439453125,107.94000244140625,1629.510009765625
2019-01-08,67.06999969482422,1085.3699951171875,108.61000061035156,1656.5799560546875
2019-01-09,67.70600128173828,1081.6500244140625,109.95999908447266,1659.4200439453125
2019-01-10,68.99400329589844,1078.8299560546875,110.93000030517578,1656.219970703125
2019-01-11,69.4520034790039,1064.469970703125,111.12999725341797,1640.56005859375
2019-01-14,66.87999725341797,1051.510009765625,107.58000183105469,1617.2099609375
2019-01-15,68.88600158691406,1086.510009765625,111.7300033569336,1674.56005859375
2019-01-16,69.20999908447266,1089.510009765625,111.69999694824219,1683.780029296875
2019-01-17,69.46199798583984,1099.1199951171875,114.62000274658203,1693.219970703125
2019-01-18,60.45199966430664,1107.300048828125,117.05000305175781,1696.199951171875
2019-01-22,59.784000396728516,1078.6300048828125,114.29000091552734,1632.1700439453125
2019-01-23,57.518001556396484,1084.4100341796875,117.0,1640.02001953125
2019-01-24,58.301998138427734,1084.0,117.91000366210938,1654.9300537109375
2019-01-25,59.40800094604492,1101.510009765625,121.44000244140625,1670.5699462890625
2019-01-28,59.2760009765625,1079.8599853515625,119.20999908447266,1637.8900146484375
2019-01-29,59.492000579833984,1070.06005859375,119.61000061035156,1593.8800048828125
2019-01-30,61.75400161743164,1097.989990234375,121.31999969482422,1670.4300537109375
2019-01-31,61.40399932861328,1125.8900146484375,122.95999908447266,1718.72998046875
2019-02-01,62.44200134277344,1118.6199951171875,126.27999877929688,1626.22998046875
2019-02-04,62.577999114990234,1141.4200439453125,123.75,1633.31005859375
2019-02-05,64.2699966430664,1151.8699951171875,122.87000274658203,1658.81005859375
2019-02-06,63.444000244140625,1122.8900146484375,121.02999877929688,1640.260009765625
2019-02-07,61.50199890136719,1105.9100341796875,118.79000091552734,1614.3699951171875
2019-02-08,61.15999984741211,1102.3800048828125,120.13999938964844,1588.219970703125
2019-02-11,62.56800079345703,1102.1199951171875,120.05000305175781,1591.0
2019-02-12,62.36199951171875,1127.5799560546875,124.26000213623047,1638.010009765625
2019-02-13,61.63399887084961,1128.6300048828125,125.18000030517578,1640.0
2019-02-14,60.75400161743164,1129.199951171875,125.93000030517578,1622.6500244140625
2019-02-15,61.57600021362305,1119.6300048828125,129.4199981689453,1607.949951171875
2019-02-19,61.12799835205078,1126.510009765625,128.92999267578125,1627.5799560546875
2019-02-20,60.512001037597656,1120.5899658203125,129.83999633789062,1622.0999755859375
2019-02-21,58.24599838256836,1104.2099609375,127.55000305175781,1619.43994140625
2019-02-22,58.94200134277344,1116.56005859375,129.72999572753906,1631.56005859375
2019-02-25,59.75400161743164,1117.3299560546875,133.1699981689453,1633.0
2019-02-26,59.571998596191406,1122.010009765625,133.2899932861328,1636.4000244140625
2019-02-27,62.948001861572266,1122.8900146484375,136.00999450683594,1641.0899658203125
2019-02-28,63.97600173950195,1126.550048828125,135.3300018310547,1639.8299560546875
2019-03-01,58.95800018310547,1148.52001953125,137.75,1671.72998046875
2019-03-04,57.071998596191406,1153.4200439453125,136.0800018310547,1696.1700439453125
2019-03-05,55.30799865722656,1169.18994140625,134.77000427246094,1692.4300537109375
2019-03-06,55.24800109863281,1164.93994140625,131.1199951171875,1668.949951171875
2019-03-07,55.31800079345703,1150.8499755859375,128.1699981689453,1625.949951171875
2019-03-08,56.827999114990234,1149.969970703125,128.67999267578125,1620.800048828125
2019-03-11,58.183998107910156,1179.260009765625,132.0399932861328,1670.6199951171875
2019-03-12,56.672000885009766,1197.25,134.3000030517578,1673.0999755859375
2019-03-13,57.79199981689453,1199.06005859375,135.7100067138672,1690.81005859375
2019-03-14,57.992000579833984,1192.530029296875,134.8800048828125,1686.219970703125
2019-03-15,55.08599853515625,1190.300048828125,136.08999633789062,1712.3599853515625
2019-03-18,53.89799880981445,1188.550048828125,133.50999450683594,1742.1500244140625
2019-03-19,53.49399948120117,1202.4599609375,132.94000244140625,1761.8499755859375
2019-03-20,54.720001220703125,1226.4300537109375,131.66000366210938,1797.27001953125
2019-03-21,54.80400085449219,1236.1300048828125,134.2100067138672,1819.260009765625
2019-03-22,52.90599822998047,1207.6500244140625,130.2100067138672,1764.77001953125
2019-03-25,52.08399963378906,1197.3800048828125,132.2899932861328,1774.260009765625
2019-03-26,53.55400085449219,1189.8399658203125,136.7899932861328,1783.760009765625
2019-03-27,54.965999603271484,1178.010009765625,134.60000610351562,1765.699951171875
2019-03-28,55.7239990234375,1172.27001953125,133.25999450683594,1773.4200439453125
2019-03-29,55.97200012207031,1176.8900146484375,135.17999267578125,1780.75
2019-04-01,57.83599853515625,1198.97998046875,135.32000732421875,1814.18994140625
2019-04-02,57.17599868774414,1205.5400390625,138.9199981689453,1813.97998046875
2019-04-03,58.36199951171875,1210.81005859375,139.99000549316406,1820.699951171875
2019-04-04,53.555999755859375,1219.449951171875,139.92999267578125,1818.8599853515625
2019-04-05,54.992000579833984,1211.449951171875,141.1999969482422,1837.280029296875
2019-04-08,54.63999938964844,1208.280029296875,139.75,1849.8599853515625
2019-04-09,54.46200180053711,1202.68994140625,137.64999389648438,1835.8399658203125
2019-04-10,55.21200180053711,1206.449951171875,141.3000030517578,1847.3299560546875
2019-04-11,53.683998107910156,1209.5899658203125,137.4199981689453,1844.0699462890625
